ID,Name,Energy,Loudness,Speechiness,Instrumentalness,Type,time_signature
62E8JJRtwOwU85uup9C5Ox,ParecenViernes,0.863,-3.575,0.0352,1.53E-05,audio_features,4
3yEtuhGR8jOtusa29jWrhG,TuAmorMeHaceBien-SalsaVersion,0.658,-6.496,0.0359,4.58E-05,audio_features,4
3WXfQDsASfXrSojk9WB3aR,EnBarranquillaMeQuedo,0.7,-9.213,0.0552,0.000232,audio_features,4
6bum69IXoiGcZCb83ZtfGA,MeTengoQueIr,0.799,-3.275,0.0375,0,audio_features,4
23Vb5teQKNSNvPgUjLtI8j,LaMurga,0.771,-7.53,0.0436,0.00265,audio_features,4
3fRIuTih8bzc0vtY9fHhvF,TalentoDeTelevisión,0.796,-6.675,0.0434,3.99E-05,audio_features,4
6UGYIgkzeLp4BQy30B9svV,Anhelo,0.525,-13.082,0.0458,4.13E-06,audio_features,4
2soM5TyZ2c98CDMvXljT7a,Vendevorameotravez(Salsa),0.744,-5.586,0.0359,0.000123,audio_features,4
4pUmQqaZklcCOB3rFdWc7g,ValiólaPena-SalsaVersion,0.704,-5.801,0.0501,5.26E-06,audio_features,4
7nDIflSHQXzaa8zupxwv3U,YoNoSeManana,0.827,-3.206,0.042,0,audio_features,4
0amRhMUb9wYrDOmSD938AQ,TuVidaenlaMía,0.864,-3.16,0.0339,0.000309,audio_features,4
1m3paVx65imhvCjPx505Oy,Micaela,0.891,-6.858,0.0524,0.0022,audio_features,4
383hkMdmA976zOTKRm6PLy,LaAgarroBajando,0.763,-6.861,0.0417,2.37E-06,audio_features,4
2kBgJXGbVA6WcA40IFA9KF,TuCariñito,0.873,-8.758,0.0382,1.63E-06,audio_features,4
5bkWgrKyNhMcriQP3CrHEA,FabricandoFantasías-SalsaVersion,0.857,-3.185,0.0412,0,audio_features,4
14XQClWbLwmDywY9wVaDiG,Lluvia,0.69,-8.837,0.0369,6.35E-05,audio_features,4
3h75ACdFItmEuIb4zlz59M,AmoresComoelNuestro-RadioVersion,0.796,-4.089,0.0433,0.00328,audio_features,4
2h6WIOkTPvHSAD7vR6lMSS,TeVaaDoler,0.849,-4.382,0.0461,0,audio_features,4
0LIZVQBQtDi4lLhB83qJIp,VivirLoNuestro,0.681,-6.332,0.0463,0,audio_features,4
6QJ1F9DrlsRSmKDcdVS0Oy,Lloraras,0.764,-8.406,0.0447,0.00065,audio_features,4
58unXNsISeHfI2jdqm9nb9,CasiTeEnvidio,0.718,-5.91,0.0815,0,audio_features,4
00Ro1lnV3V6i87aY4t8Q43,Larebelion,0.755,-7.907,0.0735,2.55E-05,audio_features,4
6sna5KCgNbt1ciZtVJCjzx,GotasDeLluvia,0.856,-3.946,0.0375,0.00019,audio_features,4
